日期,空氣汙染,水汙染,地下水汙染,地表水系汙染,優養化,海洋汙染,海水酸化,海洋暖化,紅潮,廢棄物、垃圾,土壤鹽鹼化,沙漠化,資源回收,越境汙染,棲地保育 ,野生動植物保育,生物多樣性,物種滅絕,環境保護、環保
2016/1/1,1,0.6,0.6,0,0.6,0.6,0,0,0.6,27,0,0,4,0,0,0,0.6,0,27
2016/2/1,1,1,0,0,0.6,0.6,0,0,0.6,45,0,0,4,0,0,0,0.6,0,27
2016/3/1,1,0.6,0.6,0,0.6,0.6,0,0,0.6,23,0,0.6,4,0,0,0,0.6,0,30
2016/4/1,1,0.6,0.6,0,0.6,0.6,0,0,0.6,27,0,0.6,4,0,0,0,0.6,0,30
2016/5/1,1,0.6,0,0,0.6,0.6,0,0,0.6,26,0.6,0.6,4,0,0,0,0.6,0,29
2016/6/1,1,0.6,0,0,0.6,0.6,0,0,0.6,29,0,0.6,4,0,0,0,1,0,27
2016/7/1,0.6,0.6,0,0,0.6,0.6,0,0,0.6,27,0,0,5,0,0,0,0.6,0.6,26
2016/8/1,0.6,0.6,0,0,0,0.6,0,0,0.6,27,0.6,0,5,0,0,0,0.6,0,27
2016/9/1,0.6,0.6,0.6,0,0.6,0.6,0,0,0.6,37,0.6,0,4,0,0,0,0.6,0.6,29
2016/10/1,1,0.6,0,0,0.6,0.6,0,0,0.6,30,0,0.6,5,0,0,0,0.6,0,31
2016/11/1,1,0.6,0.6,0,0.6,0.6,0,0,0.6,28,0,0.6,4,0,0,0,0.6,0,31
2016/12/1,1,0.6,0.6,0,0.6,0.6,0,0,0.6,30,0.6,0.6,4,0,0,0,0.6,0,34
2017/1/1,1,0.6,0,0,0.6,0.6,0,0,0.6,50,0,0.6,6,0,0,0,0.6,0,30
2017/2/1,1,0.6,0,0,0.6,0.6,0,0,0.6,39,0.6,0,5,0,0,0,0.6,0,31
2017/3/1,1,0.6,0.6,0,0.6,0.6,0,0,0.6,29,0.6,0.6,5,0,0,0,0.6,0.6,31
2017/4/1,1,0.6,0.6,0,0.6,0.6,0,0,0.6,34,0,0.6,4,0,0,0,0.6,0.6,29
2017/5/1,1,0.6,0,0,0.6,0.6,0,0,0.6,34,0.6,0.6,5,0,0,0,0.6,0.6,30
2017/6/1,1,0.6,0.6,0,0.6,0.6,0,0,0.6,38,0.6,0,5,0,0,0,0.6,0.6,31
2017/7/1,0.6,0.6,0.6,0,0.6,0,0,0,0.6,37,0,0.6,5,0,0,0,0.6,0.6,31
2017/8/1,0.6,0.6,0.6,0,0.6,0.6,0,0,0.6,32,0,0.6,5,0,0,0,0.6,0,30
2017/9/1,1,0.6,0.6,0,0.6,0.6,0,0,0.6,35,0,0,5,0,0,0,0.6,0.6,32
2017/10/1,1,0.6,0,0,0.6,0.6,0,0,0.6,37,0.6,0.6,5,0,0,0,0.6,0,31
2017/11/1,2,0.6,0.6,0,0.6,0.6,0,0,0,33,0.6,0.6,5,0,0,0,0.6,0,35
2017/12/1,2,0.6,0,0,0.6,0.6,0,0,0.6,31,0.6,0,5,0,0,0,0.6,0.6,38
2018/1/1,1,0.6,0,0,0.6,0.6,0,0,0.6,37,0,0,5,0,0,0,0.6,0.6,35
2018/2/1,0.6,0.6,0,0,0.6,0.6,0,0,0.6,67,0,0.6,6,0,0,0,0.6,0.6,37
2018/3/1,1,0.6,0,0,0.6,0.6,0,0,0.6,31,0.6,0.6,5,0,0,0,0.6,0,35
2018/4/1,1,0.6,0.6,0,0.6,0.6,0,0,0.6,36,0,0.6,4,0,0,0,1,0,35
2018/5/1,1,1,0.6,0,0.6,0.6,0,0,0.6,35,0,0.6,5,0,0,0,0.6,0,33
2018/6/1,1,0.6,0.6,0,0.6,0.6,0,0,0.6,42,0,0.6,5,0,0,0,0.6,0,36
2018/7/1,1,0.6,0.6,0,0.6,0.6,0,0,0.6,38,0.6,0.6,5,0,0,0,0.6,0.6,30
2018/8/1,0.6,0.6,0,0,0.6,0.6,0,0,0.6,38,0.6,0.6,5,0,0,0,0.6,0,31
2018/9/1,1,0.6,0,0,0.6,0.6,0,0,0.6,43,0.6,0,5,0,0,0,0.6,0,30
2018/10/1,1,0.6,0.6,0,0.6,0.6,0,0,0.6,36,0.6,0,5,0,0,0,0.6,0,31
2018/11/1,1,0.6,0,0,0.6,0.6,0,0,0.6,34,0,0.6,5,0,0,0,0.6,0,32
2018/12/1,1,0.6,0.6,0,0.6,0.6,0,0,0.6,38,0,0.6,5,0,0,0,0.6,0,32
2019/1/1,1,0.6,0,0,0.6,0.6,0,0,0.6,42,0,0.6,6,0,0,0,0.6,0,36
2019/2/1,1,0.6,0,0,0.6,0.6,0,0,0.6,77,0,0,5,0,0,0,0.6,0,29
2019/3/1,1,0.6,0,0,0.6,0.6,0,0,0.6,32,0.6,0.6,5,0,0,0,0.6,0,31
2019/4/1,1,0.6,0.6,0,0.6,0.6,0,0,0.6,38,0,0.6,5,0,0,0,0.6,0.6,32
2019/5/1,1,0.6,0.6,0,0.6,0.6,0,0,0.6,37,0,0.6,5,0,0,0,0.6,0.6,30
2019/6/1,0.6,0.6,0,0,0.6,0.6,0,0,0.6,42,0,0.6,5,0,0,0,0.6,0,33
2019/7/1,0.6,0.6,0,0,0.6,0.6,0,0,0.6,39,0,0.6,6,0,0,0,0.6,0,34
2019/8/1,0.6,0.6,0,0,0.6,0.6,0,0,0.6,39,0,0,5,0,0,0,0.6,0,34
2019/9/1,0.6,0.6,0,0,0.6,0.6,0,0,0.6,44,0,0,5,0,0,0,0.6,0.6,35
2019/10/1,1,0.6,0.6,0,0.6,0.6,0,0,0.6,42,0,0.6,5,0,0,0,0.6,0.6,32
2019/11/1,1,0.6,0.6,0,0.6,0.6,0,0,0.6,32,0.6,0.6,5,0,0,0,0.6,0,31
2019/12/1,1,0.6,0,0,0.6,0.6,0,0,0.6,35,0,0.6,5,0,0,0,0.6,0,33
2020/1/1,0.6,0.6,0.6,0,0.6,0.6,0,0,0.6,89,0,0,6,0,0,0,0.6,0.6,31
2020/2/1,0.6,0.6,0.6,0,0.6,0.6,0,0,0,36,0.6,0.6,5,0,0,0,0.6,0.6,30
2020/3/1,0.6,0.6,0.6,0,0.6,0.6,0,0,0.6,35,0,0.6,4,0,0,0,0.6,0.6,31
2020/4/1,0.6,0.6,0,0,0.6,0.6,0,0,0.6,41,0,0.6,5,0,0,0,0.6,0.6,32
2020/5/1,0.6,0.6,0.6,0,0.6,0.6,0,0,0.6,39,0.6,0.6,5,0,0,0,1,0.6,31
2020/6/1,1,0.6,0,0,0.6,0.6,0,0,0.6,45,0,0.6,6,0,0,0,1,0,31
2020/7/1,0.6,0.6,0,0,0.6,0.6,0,0,0.6,38,0,0,5,0,0,0,0.6,0.6,29
2020/8/1,0.6,0.6,0.6,0,0.6,0.6,0,0,0.6,36,0,0.6,5,0,0,0,0.6,0.6,31
2020/9/1,0.6,0.6,0.6,0,0.6,0.6,0,0,0.6,41,0.6,0,5,0,0,0,0.6,0,30
2020/10/1,0.6,0.6,0,0,0.6,0.6,0,0,0.6,45,0.6,0,5,0,0,0,0.6,0,32
2020/11/1,0.6,0.6,0,0,0.6,0.6,0,0,0.6,39,0.6,0,5,0,0,0,0.6,0.6,32
2020/12/1,0.6,0.6,0,0,0.6,0.6,0,0,0,40,0,0,5,0,0,0,0.6,0.6,30
2021/1/1,0.6,0.6,0.6,0,0.6,0.6,0,0,0.6,42,0,0.6,6,0,0,0,0.6,0.6,30
2021/2/1,0.6,0.6,0,0,0.6,0.6,0,0,0.6,104,0,0,7,0,0,0,0.6,0.6,30
2021/3/1,1,0.6,0,0,0.6,0.6,0,0,0.6,38,0,0,5,0,0,0,0.6,0.6,29
2021/4/1,1,0.6,0.6,0,0.6,0.6,0,0,0,44,0,0.6,5,0,0,0,0.6,0.6,31
2021/5/1,0.6,0.6,0.6,0,0.6,0.6,0,0,0,44,0.6,0,5,0,0,0,0.6,0.6,28
2021/6/1,1,0.6,0,0,1,0.6,0,0,0.6,55,0,0,6,0,0,0,1,0,26
2021/7/1,0.6,0.6,0,0,0.6,0,0,0,0.6,41,0,0.6,6,0,0,0,0.6,0.6,25
2021/8/1,0.6,0.6,0.6,0,0,0,0,0,0,44,0,0,5,0,0,0,0.6,0,29
2021/9/1,0.6,0.6,0,0,0.6,0.6,0,0,0.6,54,0,0.6,6,0,0,0,0.6,0,28
2021/10/1,0.6,0.6,0,0,0.6,0.6,0,0,0.6,44,0.6,0.6,5,0,0,0,0.6,0,28
2021/11/1,0.6,0.6,0.6,0,0,0.6,0,0,0.6,41,0,0.6,6,0,0,0,0.6,0.6,29
2021/12/1,0.6,0.6,0.6,0,0.6,0.6,0,0,0.6,45,0.6,0.6,6,0,0,0,0.6,0,32
