日期,海水倒灌,海平面上升,溫室氣體、甲烷,地球暖化,沿海居民,融冰、海冰融化,氣候難民,鹽害,地層下陷,低窪
2021/5/1,0,16,71,20,0,3,0,0,12,0
2021/6/1,3,19,97,18,0,13,3,0,12,0
2021/7/1,8,13,64,9,0,2,0,0,19,4
2021/8/1,3,13,61,9,0,2,2,0,18,5
2021/9/1,4,13,69,9,0,2,0,0,9,2
2021/10/1,3,18,80,15,0,6,4,0,7,8
2021/11/1,5,27,110,14,0,0,0,0,18,0
2021/12/1,3,14,97,11,0,5,0,0,9,3
,,,,,,,,,,
,,,156,,,0,,,,
,,,86,,,16,,,,
,,,94,,,0,,,,
,,,88,,,20,,,,
,,,159,,,26,,,,
,,,169,,,0,,,,
,,,78,,,46,,,,
,,,80,,,0,,,,
,,,88,,,27,,,,
,,,97,,,0,,,,
,,,72,,,0,,,,
,,,71,,,0,,,,
,,,83,,,0,,,,
,,,75,,,9,,,,
,,,55,,,9,,,,
,,,72,,,0,,,,
,,,80,,,12,,,,
,,,81,,,21,,,,
,,,74,,,0,,,,
,,,67,,,7,,,,
,,,71,,,0,,,,
,,,84,,,0,,,,
,,,64,,,4,,,,
,,,66,,,0,,,,
,,,75,,,12,,,,
,,,28,,,0,,,,
,,,82,,,0,,,,
,,,62,,,8,,,,
,,,88,,,4,,,,
,,,84,,,5,,,,
,,,59,,,5,,,,
,,,47,,,0,,,,
,,,73,,,6,,,,
,,,77,,,4,,,,
,,,67,,,7,,,,
,,,43,,,0,,,,
,,,70,,,3,,,,
,,,53,,,7,,,,
,,,70,,,7,,,,
,,,81,,,6,,,,
,,,83,,,0,,,,
,,,65,,,0,,,,
,,,53,,,0,,,,
,,,90,,,0,,,,
,,,48,,,7,,,,
,,,73,,,7,,,,
,,,63,,,5,,,,
,,,78,,,0,,,,
,,,59,,,5,,,,
,,,35,,,10,,,,
,,,60,,,0,,,,
,,,70,,,4,,,,
,,,74,,,4,,,,
,,,90,,,0,,,,
,,,72,,,0,,,,
,,,56,,,2,,,,
,,,58,,,3,,,,
,,,76,,,3,,,,
,,,80,,,8,,,,
,,,84,,,8,,,,
,,,68,,,0,,,,
,,,58,,,3,,,,
,,,90,,,4,,,,
,,,62,,,8,,,,
,,,67,,,5,,,,
,,,75,,,0,,,,
,,,49,,,0,,,,
,,,47,,,0,,,,
,,,53,,,8,,,,
,,,81,,,6,,,,
,,,97,,,14,,,,
,,,72,,,0,,,,
,,,58,,,7,,,,
,,,56,,,4,,,,
,,,83,,,4,,,,
,,,83,,,5,,,,
,,,75,,,0,,,,
,,,87,,,4,,,,
,,,45,,,5,,,,
,,,44,,,10,,,,
,,,72,,,5,,,,
,,,64,,,9,,,,
,,,72,,,7,,,,
,,,68,,,8,,,,
,,,77,,,2,,,,
,,,53,,,5,,,,
,,,67,,,0,,,,
,,,54,,,9,,,,
,,,73,,,5,,,,
,,,84,,,8,,,,
,,,38,,,2,,,,
,,,58,,,5,,,,
,,,42,,,0,,,,
,,,67,,,0,,,,
,,,65,,,0,,,,
,,,59,,,7,,,,
,,,66,,,2,,,,
,,,46,,,3,,,,
,,,61,,,3,,,,
,,,65,,,5,,,,
,,,58,,,5,,,,
,,,53,,,11,,,,
,,,41,,,8,,,,
,,,45,,,6,,,,
,,,53,,,9,,,,
,,,59,,,3,,,,
,,,69,,,5,,,,
,,,69,,,4,,,,
,,,63,,,5,,,,
,,,45,,,4,,,,
,,,70,,,4,,,,
,,,73,,,3,,,,
,,,69,,,2,,,,
,,,56,,,7,,,,
,,,45,,,4,,,,
,,,49,,,7,,,,
,,,46,,,7,,,,
,,,66,,,5,,,,
,,,60,,,0,,,,
,,,76,,,2,,,,
,,,61,,,2,,,,
,,,45,,,0,,,,
,,,63,,,4,,,,
,,,66,,,5,,,,
,,,71,,,3,,,,
,,,97,,,13,,,,
,,,64,,,2,,,,
,,,61,,,2,,,,
,,,69,,,2,,,,
,,,80,,,6,,,,
,,,110,,,0,,,,
,,,97,,,5,,,,
