日期,漂綠,氣候尋租,碳排放途徑,碳移除途徑 ,碳預算,碳邊境調整機制,碳捕捉,碳封存,綠色拆遷,綠色循環生產,碳金融化, 碳定價,能源稅,綠色消費,公民電廠,躉購費率, 綠色衝突,循環經濟,普惠金融,綠色金融,永續金融,環境永續,淨零排放,碳排、碳稅,碳交易 ,節能減碳、減碳,工業用電效率
2012/10/1,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,8,0,0,0,6,0,19,7,95,0
2012/11/1,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,4,0,0,0,7,0,10,6,93,0
2012/12/1,0,0,0,0,0,0,0,2,0,0,0,0,26,5,0,0,0,0,5,0,0,9,0,16,8,71,0
2013/1/1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,6,0,9,0,21,3,56,0
2013/2/1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,10,0,30,0
2013/3/1,0,0,0,0,0,0,0,5,0,0,0,0,2,4,0,2,0,3,0,0,0,8,0,21,7,54,0
2013/4/1,0,0,0,0,0,0,0,7,0,0,0,0,3,9,0,0,0,8,2,4,0,11,0,24,9,65,0
2013/5/1,0,0,0,0,0,0,0,4,0,0,0,0,7,8,0,2,0,2,0,3,0,12,0,18,11,75,0
2013/6/1,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,5,0,11,0,13,5,49,0
2013/7/1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,15,0,56,0
2013/8/1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,7,0,16,2,61,0
2013/9/1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,2,0,17,5,71,0
2013/10/1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,4,0,0,0,3,0,17,4,62,0
2013/11/1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,2,0,3,0,12,0,20,7,47,0
2013/12/1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,2,4,0,0,11,0,15,5,54,0
2014/1/1,0,0,0,0,0,0,0,3,0,0,0,0,2,4,0,0,0,5,0,0,0,8,0,14,2,37,0
2014/2/1,0,0,0,0,0,0,0,2,0,0,0,0,3,3,0,0,0,4,0,0,0,3,0,14,4,53,0
2014/3/1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,3,0,5,0,0,0,8,0,14,3,41,0
2014/4/1,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,3,0,0,0,0,0,11,0,13,0,47,0
2014/5/1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,8,0,12,4,57,0
2014/6/1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,3,0,0,0,8,0,11,2,48,0
2014/7/1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,13,1,61,0
2014/8/1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,17,3,50,0
2014/9/1,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,2,0,4,0,0,0,0,0,28,5,64,0
2014/10/1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,4,0,0,0,5,0,7,3,56,0
2014/11/1,0,0,0,0,0,0,0,2,0,0,0,0,4,2,0,0,0,4,2,0,0,8,0,22,5,53,0
2014/12/1,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,1,0,0,0,0,0,9,0,12,2,45,0
2015/1/1,0,0,0,0,0,0,0,2,0,0,0,0,3,4,0,0,0,3,0,0,0,8,0,16,3,39,0
2015/2/1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,6,0,14,0,30,0
2015/3/1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,4,0,0,0,6,0,19,2,46,0
2015/4/1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,0,0,9,0,16,0,47,0
2015/5/1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,0,0,9,0,16,1,45,0
2015/6/1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,2,0,3,0,9,0,15,3,45,0
2015/7/1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,0,1,0,20,0,30,0
2015/8/1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,5,0,15,11,39,0
2015/9/1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,5,0,0,0,5,0,19,0,50,0
2015/10/1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,6,0,0,0,9,0,19,3,48,0
2015/11/1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,7,1,0,0,8,0,16,4,45,0
2015/12/1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,0,2,0,7,0,25,5,67,0
2016/1/1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,7,0,18,3,57,0
2016/2/1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,11,0,5,0,18,3,41,0
2016/3/1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,9,0,0,8,0,20,4,51,0
2016/4/1,0,0,0,0,0,0,0,2,0,0,0,0,2,4,0,0,0,5,6,3,0,7,0,18,2,48,0
2016/5/1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0,5,0,0,0,9,0,23,1,43,0
2016/6/1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,5,0,0,0,7,0,21,6,44,0
2016/7/1,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,5,0,1,0,2,0,21,0,30,0
2016/8/1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,6,0,22,2,37,0
2016/9/1,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,2,0,9,1,0,0,3,0,16,2,38,0
2016/10/1,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,3,0,15,0,4,0,7,0,23,2,26,0
2016/11/1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,12,0,3,0,8,0,22,7,48,0
2016/12/1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,8,0,0,0,9,0,20,5,31,0
2017/1/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,1,2,0,5,0,22,5,21,0
2017/2/1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,13,1,3,0,5,0,19,0,28,0
2017/3/1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,16,0,0,0,5,0,17,2,32,0
2017/4/1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,14,3,2,0,7,0,17,5,39,0
2017/5/1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,9,2,4,0,11,0,14,3,27,0
2017/6/1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,2,0,7,0,28,4,38,0
2017/7/1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,4,0,2,0,5,0,22,2,24,0
2017/8/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,2,0,4,0,26,5,44,0
2017/9/1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,16,0,3,0,7,0,25,4,36,0
2017/10/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15,0,1,0,4,0,24,0,33,0
2017/11/1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,5,0,16,3,0,0,5,0,22,5,37,0
2017/12/1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,8,0,0,0,10,0,27,6,26,0
2018/1/1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,5,0,15,2,0,0,11,0,26,5,45,0
2018/2/1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,9,0,0,0,4,0,25,0,19,0
2018/3/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,0,1,0,10,0,27,2,33,0
2018/4/1,0,0,0,0,0,0,0,3,0,0,0,0,1,4,0,2,0,12,1,2,0,7,0,32,2,32,0
2018/5/1,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,5,0,22,3,3,0,9,0,25,4,33,0
2018/6/1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,22,5,1,0,8,0,19,2,28,0
2018/7/1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,5,0,16,3,3,0,3,0,27,2,32,0
2018/8/1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,13,2,1,0,3,0,20,0,26,0
2018/9/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,25,4,0,0,0,0,21,0,41,0
2018/10/1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,18,0,2,0,6,0,21,2,31,0
2018/11/1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,18,2,1,0,6,0,21,3,27,0
2018/12/1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,9,0,14,0,0,0,7,0,22,2,32,0
2019/1/1,0,0,0,0,0,0,0,3,0,0,0,0,2,1,0,14,0,10,0,1,0,4,0,26,4,18,0
2019/2/1,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,4,0,13,2,6,0,5,0,23,3,18,0
2019/3/1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,13,0,3,0,6,0,22,0,25,0
2019/4/1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,0,14,1,4,0,9,0,23,2,30,0
2019/5/1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,14,2,0,0,5,0,26,0,26,0
2019/6/1,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,2,0,18,3,0,0,6,0,23,1,32,0
2019/7/1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,12,2,3,0,7,0,24,0,27,0
2019/8/1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,12,1,0,0,4,0,34,2,24,0
2019/9/1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,14,0,2,0,2,0,30,0,31,0
2019/10/1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,21,1,2,0,9,0,29,1,28,0
2019/11/1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,0,14,2,0,0,5,0,28,3,33,0
2019/12/1,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,10,0,15,1,3,0,9,0,34,1,30,0
2020/1/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,5,0,24,0,25,0
2020/2/1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,6,0,11,3,1,0,3,0,28,2,21,0
2020/3/1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,13,5,1,0,6,0,23,1,33,0
2020/4/1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,3,2,0,4,0,30,4,36,0
2020/5/1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,0,12,5,2,0,8,0,28,1,28,0
2020/6/1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4,0,13,4,3,0,8,0,28,3,30,0
2020/7/1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,3,0,10,1,4,0,3,0,29,2,27,0
2020/8/1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,13,2,4,0,3,0,32,2,38,0
2020/9/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,14,3,0,0,7,0,34,3,27,0
2020/10/1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,19,3,3,0,5,0,37,3,37,0
2020/11/1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,18,2,0,0,7,0,30,6,23,0
2020/12/1,0,0,0,0,0,0,0,3,0,0,0,0,3,1,0,5,0,14,3,0,0,7,0,34,3,22,0
2021/1/1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,6,0,14,1,2,0,12,0,34,4,23,0
2021/2/1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,14,3,0,0,8,0,33,3,14,0
2021/3/1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,4,0,14,4,3,0,6,0,31,1,23,0
2021/4/1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,16,3,2,0,10,0,43,9,39,0
2021/5/1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,0,13,0,2,0,11,0,45,10,43,0
2021/6/1,0,0,0,0,0,0,0,3,0,0,0,0,1,4,0,3,0,14,2,2,0,10,0,43,14,31,0
2021/7/1,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,3,0,12,1,2,0,6,0,57,14,29,0
2021/8/1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,14,2,2,0,7,0,50,9,39,0
2021/9/1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,5,0,9,5,1,0,6,0,56,10,35,0
2021/10/1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,14,3,4,0,11,0,57,8,44,0
2021/11/1,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,2,0,18,3,5,0,13,0,66,7,59,0
2021/12/1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,5,0,14,3,5,0,10,0,69,7,54,0
