日期,乾淨用水,糧食危機,糧食安全 ,糧食進口,糧食自給率,飼料自給率,糧食短缺,漁業資源,魚場枯竭、過度捕撈,生產過剩、歉收,青農、青年農民,農作物,農村生態保育,可耕地,休耕,農業永續經營,食農教育,食物浪費、糧食浪費,惜食
2019/4/1,0,0,10,0,6,0,0,0,0,5,38,36,0,0,7,0,7,6,0
2019/5/1,0,7,7,0,9,0,0,0,0,4,48,34,0,0,18,0,26,0,3
2019/6/1,0,4,8,0,3,0,0,0,0,0,38,50,0,0,18,0,16,10,10
2019/7/1,0,0,0,0,3,0,0,0,0,0,39,31,0,0,16,0,18,7,4
2019/8/1,0,0,0,0,4,0,0,0,0,0,26,41,0,0,16,0,11,8,5
2019/9/1,0,10,9,0,0,0,0,0,0,0,34,39,0,0,0,0,5,13,5
2019/10/1,0,14,0,0,4,0,0,0,0,0,37,44,0,0,9,0,13,16,5
2019/11/1,0,9,0,0,9,0,0,0,0,0,48,44,0,0,21,0,16,17,6
2019/12/1,0,6,4,0,0,0,0,0,0,4,32,35,0,0,25,0,17,13,11
2020/1/1,0,0,4,0,5,0,0,0,0,0,32,35,0,0,43,0,19,3,5
2020/2/1,0,13,0,0,13,0,0,0,0,0,33,47,0,0,18,0,19,7,0
2020/3/1,0,15,0,0,12,0,0,0,0,0,46,38,0,0,5,0,24,19,10
2020/4/1,0,51,6,0,22,0,0,0,0,0,54,44,0,0,12,0,15,10,12
2020/5/1,0,21,7,0,5,0,0,0,0,0,37,38,0,0,16,0,15,9,6
2020/6/1,0,11,5,0,8,0,0,0,0,10,43,46,0,0,18,0,13,13,18
2020/7/1,0,9,3,0,4,0,0,0,0,0,59,35,0,0,16,0,13,9,7
2020/8/1,0,17,0,0,8,0,0,0,0,0,45,32,0,0,17,0,18,12,11
2020/9/1,0,11,3,0,0,0,0,0,0,3,38,36,0,0,13,0,17,0,7
2020/10/1,0,9,3,0,8,0,0,0,0,0,44,34,0,0,31,0,16,11,7
2020/11/1,0,17,8,0,0,0,0,0,0,0,45,42,0,0,42,0,13,16,6
2020/12/1,0,7,3,0,3,0,0,0,0,0,48,44,0,0,61,0,15,11,13
2021/1/1,0,4,4,0,0,0,0,0,0,0,32,37,0,0,100,0,18,15,8
2021/2/1,0,4,4,0,0,0,0,0,0,0,79,35,0,0,26,0,20,7,0
2021/3/1,0,0,0,0,3,0,0,0,0,0,45,32,0,0,18,0,19,20,6
2021/4/1,0,4,0,0,0,0,0,0,0,0,44,32,0,0,16,0,13,12,25
2021/5/1,0,8,0,0,0,0,0,0,0,0,29,44,0,0,21,0,14,6,4
2021/6/1,0,15,3,0,3,0,0,0,0,3,28,53,0,0,24,0,14,20,4
2021/7/1,0,0,4,0,0,0,0,0,0,0,24,36,0,0,30,0,5,8,4
2021/8/1,0,8,0,0,3,0,0,0,0,0,38,33,0,0,28,0,5,10,8
2021/9/1,0,8,6,0,0,0,0,0,0,0,33,38,0,0,20,0,18,13,10
2021/10/1,0,16,6,0,8,0,0,0,0,0,44,41,0,0,23,0,17,16,4
2021/11/1,0,9,4,0,0,0,0,0,0,5,48,53,0,0,21,0,24,19,3
2021/12/1,0,9,13,0,0,0,0,0,0,0,32,40,0,0,24,0,21,21,0
